full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away
Matěj Vydra,28,Premier League,2018/2019,Forward,Burnley,311,91,220,Czech Republic,13,6,7,1,1,0,1,0,1
Mateo Kovačić,26,Premier League,2018/2019,Midfielder,Chelsea,1743,968,775,Croatia,32,17,15,0,0,0,2,1,1
Mathew Ryan,28,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0
Mathias Jattah-Njie Jørgensen,30,Premier League,2018/2019,Defender,Huddersfield Town,2148,1248,900,Denmark,24,14,10,3,1,2,1,0,1
Matt Butcher,23,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0
Matt Doherty,29,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,19,19,4,1,3,5,4,1
Matt Ritchie,31,Premier League,2018/2019,Midfielder,Newcastle United,2940,1557,1383,Scotland,36,19,17,2,1,1,8,2,6
Matt Targett,25,Premier League,2018/2019,Defender,Southampton,1185,483,702,England,16,7,9,1,1,0,3,2,1
Matteo Darmian,31,Premier League,2018/2019,Defender,Manchester United,443,353,90,Italy,6,5,1,0,0,0,0,0,0
Mattéo Guendouzi Olié,21,Premier League,2018/2019,Midfielder,Arsenal,2143,971,1172,France,33,14,19,0,0,0,0,0,0
Matthew Connolly,33,Premier League,2018/2019,Defender,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0
Matthew Lowton,31,Premier League,2018/2019,Defender,Burnley,1748,810,938,England,21,9,12,0,0,0,0,0,0
Matty Daly,20,Premier League,2018/2019,Midfielder,Huddersfield Town,73,49,24,England,2,1,1,0,0,0,0,0,0
Max Harrison Sanders,22,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0
Max Kilman,23,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0
Max Meyer,25,Premier League,2018/2019,Midfielder,Crystal Palace,1414,718,696,Germany,29,18,11,1,0,1,2,0,2
Maxime Le Marchand,31,Premier League,2018/2019,Defender,Fulham,2251,1171,1080,France,26,14,12,0,0,0,1,1,0
Maya Yoshida,32,Premier League,2018/2019,Defender,Southampton,1520,800,720,Japan,17,9,8,0,0,0,1,1,0
Mesut Özil,32,Premier League,2018/2019,Midfielder,Arsenal,1741,1139,602,Germany,24,14,10,5,4,1,2,2,0
Michael Keane,28,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1
Michael Obafemi,20,Premier League,2018/2019,Forward,Southampton,134,64,70,Republic of Ireland,6,2,4,1,0,1,1,1,0
Michail Antonio,31,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,16,17,6,4,2,4,2,2
Michel Vorm,37,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,Netherlands,2,1,1,0,0,0,0,0,0
Michy Batshuayi,27,Premier League,2018/2019,Forward,Crystal Palace,756,368,388,Belgium,11,6,5,5,2,3,0,0,0
Miguel Ángel Almirón Rejala,27,Premier League,2018/2019,Midfielder,Newcastle United,763,405,358,Paraguay,10,5,5,0,0,0,0,0,0
Miguel Ángel Britos Cabrera,35,Premier League,2018/2019,Defender,Watford,185,13,172,Uruguay,3,1,2,0,0,0,0,0,0
Mohamed Diamé,33,Premier League,2018/2019,Midfielder,Newcastle United,2165,960,1205,Senegal,29,13,16,0,0,0,0,0,0
Mohamed Elneny,28,Premier League,2018/2019,Midfielder,Arsenal,381,214,167,Egypt,8,5,3,0,0,0,0,0,0
Mohamed Elyounoussi,26,Premier League,2018/2019,Midfielder,Southampton,790,393,397,Norway,16,8,8,0,0,0,0,0,0
Mohamed Salah,28,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,19,22,13,9,8,5,3
Morgan Gibbs-White,21,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,England,26,13,13,0,0,0,1,1,0
Morgan Schneiderlin,31,Premier League,2018/2019,Midfielder,Everton,833,473,360,France,14,9,5,0,0,0,1,1,0
Moussa Dembele,33,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,161,355,Belgium,10,3,7,0,0,0,0,0,0
Moussa Sissoko,31,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,1187,1149,France,29,15,14,0,0,0,3,2,1
N'Golo Kanté,30,Premier League,2018/2019,Midfielder,Chelsea,3096,1579,1517,France,36,19,17,4,2,2,4,3,1
Naby Deco Keïta,26,Premier League,2018/2019,Midfielder,Liverpool,1392,729,663,Guinea,25,14,11,2,1,1,1,1,0
Nacho Monreal,35,Premier League,2018/2019,Defender,Arsenal,1861,781,1080,Spain,22,10,12,1,1,0,3,0,3
Nampalys Mendy,28,Premier League,2018/2019,Midfielder,Leicester City,2088,1006,1082,France,31,16,15,0,0,0,0,0,0
Nathan Aké,26,Premier League,2018/2019,Defender,AFC Bournemouth,3412,1710,1702,Netherlands,38,19,19,4,3,1,0,0,0
Nathan Holland,22,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0
Nathan Redmond,27,Premier League,2018/2019,Midfielder,Southampton,3276,1633,1643,England,38,19,19,6,4,2,4,2,2
Nathaniel Chalobah,26,Premier League,2018/2019,Midfielder,Watford,266,67,199,England,9,3,6,0,0,0,0,0,0
Nathaniel Clyne,30,Premier League,2018/2019,Defender,AFC Bournemouth,1254,684,570,England,18,10,8,0,0,0,1,0,1
Nathaniel Mendez-Laing,28,Premier League,2018/2019,Midfielder,Cardiff City,984,442,542,England,20,9,11,4,0,4,1,1,0
Neeskens Kebano,29,Premier League,2018/2019,Midfielder,Fulham,103,74,29,Congo DR,7,5,2,0,0,0,0,0,0
Neil Leonard Dula Etheridge,31,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,1710,1710,Philippines,38,19,19,0,0,0,0,0,0
Nemanja Matić,32,Premier League,2018/2019,Midfielder,Manchester United,2441,1051,1390,Serbia,28,12,16,1,1,0,0,0,0
Nicolas Otamendi,33,Premier League,2018/2019,Defender,Manchester City,1233,682,551,Argentina,18,9,9,0,0,0,0,0,0
Nikola Tavares,22,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0
Nnamdi Ofoborh,21,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,24,Premier League,2018/2019,Midfielder,Manchester City,1153,613,540,Ukraine,14,8,6,0,0,0,3,2,1
Oliver Skipp,20,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,191,25,England,8,6,2,0,0,0,0,0,0
Olivier Giroud,34,Premier League,2018/2019,Forward,Chelsea,832,446,386,France,27,14,13,2,1,1,4,3,1
Onyinye Wilfred Ndidi,24,Premier League,2018/2019,Midfielder,Leicester City,3299,1624,1675,Nigeria,38,19,19,2,2,0,0,0,0
Oriol Romeu,29,Premier League,2018/2019,Midfielder,Southampton,2140,1110,1030,Spain,31,16,15,1,1,0,0,0,0
Oumar Niasse,30,Premier League,2018/2019,Forward,Cardiff City,998,435,563,Senegal,18,8,10,0,0,0,0,0,0
Pablo Zabaleta,36,Premier League,2018/2019,Defender,West Ham United,2092,1216,876,Argentina,26,14,12,0,0,0,1,1,0
Pape N'Diaye Souaré,30,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Senegal,1,0,1,0,0,0,0,0,0
Pascal Groß,29,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,Germany,25,13,12,3,2,1,3,1,2
Patrick van Aanholt,30,Premier League,2018/2019,Defender,Crystal Palace,3198,1703,1495,Netherlands,36,19,17,3,2,1,2,0,2
Paul Dummett,29,Premier League,2018/2019,Defender,Newcastle United,1986,979,1007,Wales,26,13,13,0,0,0,0,0,0
Paul Pogba,28,Premier League,2018/2019,Midfielder,Manchester United,3011,1517,1494,France,35,18,17,13,10,3,9,4,5
Paulo Dino Gazzaniga,29,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,0,270,Argentina,3,0,3,0,0,0,0,0,0
Pedro Obiang,29,Premier League,2018/2019,Midfielder,West Ham United,1121,609,512,Equatorial Guinea,24,13,11,0,0,0,1,0,1
Pedro Rodriguez,33,Premier League,2018/2019,Midfielder,Chelsea,1780,958,822,Spain,31,15,16,8,6,2,2,2,0
Peter Crouch,40,Premier League,2018/2019,Forward,Burnley,86,56,30,England,6,4,2,0,0,0,0,0,0
Petr Čech,38,Premier League,2018/2019,Goalkeeper,Arsenal,585,315,270,Czech Republic,7,4,3,0,0,0,0,0,0
Phil Bardsley,35,Premier League,2018/2019,Defender,Burnley,1672,900,772,Scotland,19,10,9,0,0,0,0,0,0
Phil Jagielka,38,Premier League,2018/2019,Defender,Everton,329,95,234,England,7,3,4,1,1,0,0,0,0
Phil Jones,29,Premier League,2018/2019,Defender,Manchester United,1263,652,611,England,18,9,9,0,0,0,1,0,1
Philip Billing,24,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,1106,1086,Denmark,27,13,14,2,1,1,0,0,0
Philip Foden,20,Premier League,2018/2019,Midfielder,Manchester City,327,279,48,England,13,10,3,1,1,0,0,0,0
Philippe Sandler,24,Premier League,2018/2019,Defender,Manchester City,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,31,Premier League,2018/2019,Forward,Arsenal,2731,1418,1313,Gabon,36,19,17,22,13,9,5,4,1
Pierre-Emile Højbjerg,25,Premier League,2018/2019,Midfielder,Southampton,2764,1416,1348,Denmark,31,16,15,4,2,2,3,2,1
Rachid Ghezzal,28,Premier League,2018/2019,Forward,Leicester City,738,455,283,Algeria,19,12,7,1,1,0,0,0,0
Rafael Euclides Soares Camacho,20,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,Portugal,1,1,0,0,0,0,0,0,0
Raheem Sterling,26,Premier League,2018/2019,Forward,Manchester City,2777,1256,1521,England,34,16,18,17,12,5,10,6,4
Rajiv van La Parra,29,Premier League,2018/2019,Midfielder,Huddersfield Town,407,168,239,Netherlands,5,2,3,0,0,0,0,0,0
Ramadan Sobhi,24,Premier League,2018/2019,Forward,Huddersfield Town,75,30,45,Egypt,4,1,3,0,0,0,0,0,0
Raúl Alonso Jiménez Rodríguez,29,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,Mexico,38,19,19,13,8,5,7,4,3
Rhys Healey,26,Premier League,2018/2019,Forward,Cardiff City,49,17,32,England,3,1,2,0,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,27,Premier League,2018/2019,Defender,Leicester City,3125,1526,1599,Portugal,35,17,18,2,2,0,6,3,3
Richarlison de Andrade,23,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,17,18,13,7,6,1,1,0
Riyad Mahrez,30,Premier League,2018/2019,Midfielder,Manchester City,1339,647,692,Algeria,27,14,13,7,1,6,4,2,2
Rob Holding,25,Premier League,2018/2019,Defender,Arsenal,807,501,306,England,10,6,4,0,0,0,0,0,0
Robbie Brady,29,Premier League,2018/2019,Midfielder,Burnley,715,390,325,Republic of Ireland,16,9,7,0,0,0,1,0,1
Robert Kenedy Nunes do Nascimento,25,Premier League,2018/2019,Midfielder,Newcastle United,1344,611,733,Brazil,25,13,12,1,0,1,1,1,0
Robert Snodgrass,33,Premier League,2018/2019,Midfielder,West Ham United,2222,1108,1114,Scotland,33,16,17,2,1,1,5,4,1
Roberto Firmino,29,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,18,12,7,5,6,3,3
Roberto Maximiliano Pereyra,30,Premier League,2018/2019,Forward,Watford,2825,1467,1358,Argentina,33,17,16,6,5,1,1,0,1
Romain Saïss,31,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,Morocco,19,8,11,2,1,1,0,0,0
Romelu Lukaku,27,Premier League,2018/2019,Forward,Manchester United,2130,982,1148,Belgium,32,16,16,12,4,8,0,0,0
Rondon,31,Premier League,2018/2019,Forward,Newcastle United,2609,1343,1266,Venezuela,32,16,16,11,6,5,7,5,2
Ross Barkley,27,Premier League,2018/2019,Midfielder,Chelsea,1241,432,809,England,27,11,16,3,1,2,5,2,3
Rúben Diogo Da Silva Neves,24,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,Portugal,35,17,18,4,3,1,3,2,1
Rúben Gonçalo Silva Nascimento Vinagre,22,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,Portugal,17,12,5,0,0,0,0,0,0
Ruben Loftus-Cheek,25,Premier League,2018/2019,Midfielder,Chelsea,983,507,476,England,24,12,12,6,3,3,2,2,0
Rui Pedro dos Santos Patrício,33,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,1620,1710,Portugal,37,18,19,0,0,0,0,0,0
Ryan Bennett,31,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,1710,1350,England,34,19,15,1,1,0,0,0,0
Ryan Bertrand,31,Premier League,2018/2019,Defender,Southampton,2160,1170,990,England,24,13,11,1,1,0,0,0,0
Ryan Fraser,27,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,1605,1568,Scotland,38,19,19,7,5,2,14,5,9
Ryan Fredericks,28,Premier League,2018/2019,Midfielder,West Ham United,1085,404,681,England,15,5,10,1,1,0,0,0,0
Ryan Giles,21,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0
Ryan Guno Babel,34,Premier League,2018/2019,Forward,Fulham,1260,668,592,Netherlands,16,9,7,5,3,2,3,3,0
Ryan Schofield,21,Premier League,2018/2019,Goalkeeper,Huddersfield Town,0,0,0,England,0,0,0,0,0,0,0,0,0
Ryan Sessegnon,20,Premier League,2018/2019,Defender,Fulham,2298,1095,1203,England,35,18,17,2,1,1,6,3,3
Sadio Mané,28,Premier League,2018/2019,Forward,Liverpool,3086,1643,1443,Senegal,36,19,17,22,18,4,1,0,1
Sam Gallagher,25,Premier League,2018/2019,Forward,Southampton,30,7,23,England,4,1,3,0,0,0,0,0,0
Sam Surridge,22,Premier League,2018/2019,Forward,AFC Bournemouth,11,0,11,England,2,0,2,0,0,0,0,0,0
Sam Vokes,31,Premier League,2018/2019,Forward,Burnley,913,455,458,Wales,20,10,10,3,2,1,0,0,0
Sam Woods,22,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0
Samir Nasri,33,Premier League,2018/2019,Midfielder,West Ham United,246,102,144,France,5,2,3,0,0,0,2,2,0
Sandro Ramirez,25,Premier League,2018/2019,Forward,Everton,0,0,0,Spain,0,0,0,0,0,0,0,0,0
Scott Dann,34,Premier League,2018/2019,Defender,Crystal Palace,660,360,300,England,10,4,6,0,0,0,1,0,1
Scott McTominay,24,Premier League,2018/2019,Midfielder,Manchester United,861,345,516,England,16,7,9,2,0,2,0,0,0
Sead Kolašinac,27,Premier League,2018/2019,Defender,Arsenal,1891,1127,764,Bosnia and Herzegovina,24,14,10,0,0,0,5,3,2
Séamus Coleman,32,Premier League,2018/2019,Defender,Everton,2560,1333,1227,Republic of Ireland,29,15,14,2,2,0,2,0,2
Sean Longstaff,23,Premier League,2018/2019,Midfielder,Newcastle United,688,355,333,England,9,4,5,1,1,0,0,0,0
Sean Morrison,30,Premier League,2018/2019,Defender,Cardiff City,3040,1600,1440,England,34,18,16,1,0,1,3,2,1
Sebastian Prödl,33,Premier League,2018/2019,Defender,Watford,13,0,13,Austria,1,0,1,0,0,0,0,0,0
Serge Aurier,28,Premier League,2018/2019,Defender,Tottenham Hotspur,564,136,428,Côte d'Ivoire,8,2,6,0,0,0,2,0,2
Sergio Aguero,32,Premier League,2018/2019,Forward,Manchester City,2480,1125,1355,Argentina,33,16,17,21,15,6,8,5,3
Sergio Germán Romero,34,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,Argentina,0,0,0,0,0,0,0,0,0
Sergio Rico,27,Premier League,2018/2019,Goalkeeper,Fulham,2610,1350,1260,Spain,29,15,14,0,0,0,0,0,0
Shane Duffy,29,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,1558,1530,Republic of Ireland,35,18,17,5,2,3,1,1,0
Shane Long,34,Premier League,2018/2019,Forward,Southampton,1269,629,640,Republic of Ireland,26,15,11,5,3,2,1,1,0
Shinji Okazaki,34,Premier League,2018/2019,Forward,Leicester City,269,126,143,Japan,21,13,8,0,0,0,1,0,1
Shkodran Mustafi,28,Premier League,2018/2019,Defender,Arsenal,2617,1263,1354,Germany,31,15,16,2,0,2,0,0,0
Simon Francis,36,Premier League,2018/2019,Defender,AFC Bournemouth,1226,675,551,England,17,9,8,0,0,0,2,1,1
Simon Mignolet,33,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Belgium,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,32,Premier League,2018/2019,Defender,Arsenal,2199,1119,1080,Greece,25,13,12,1,0,1,2,2,0
Solomon March,26,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,1153,1320,England,35,16,19,1,1,0,5,1,4
Souleymane Bamba,36,Premier League,2018/2019,Defender,Cardiff City,2475,1260,1215,Côte d'Ivoire,28,14,14,4,2,2,1,1,0
Stefan Marius Johansen,30,Premier League,2018/2019,Midfielder,Fulham,412,130,282,Norway,12,5,7,0,0,0,0,0,0
Stefano Okaka,31,Premier League,2018/2019,Forward,Watford,22,9,13,Italy,2,1,1,0,0,0,0,0,0
Stephan Lichtsteiner,37,Premier League,2018/2019,Defender,Arsenal,940,408,532,Switzerland,14,7,7,0,0,0,0,0,0
Stephen Ward,35,Premier League,2018/2019,Defender,Burnley,230,74,156,Republic of Ireland,3,1,2,0,0,0,0,0,0
Steve Cook,29,Premier League,2018/2019,Defender,AFC Bournemouth,2787,1350,1437,England,31,15,16,1,0,1,1,0,1
Steve Mounié,26,Premier League,2018/2019,Forward,Huddersfield Town,1777,1009,768,Benin,31,16,15,2,2,0,3,1,2
Steven Davis,36,Premier League,2018/2019,Midfielder,Southampton,96,6,90,Northern Ireland,3,2,1,0,0,0,1,0,1
Steven Defour,32,Premier League,2018/2019,Midfielder,Burnley,452,172,280,Belgium,6,2,4,0,0,0,0,0,0
Stuart Armstrong,29,Premier League,2018/2019,Midfielder,Southampton,1432,469,963,Scotland,29,11,18,3,1,2,2,1,1
Sullay Kaikai,25,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0
Sung-Yeung Ki,32,Premier League,2018/2019,Midfielder,Newcastle United,1302,824,478,South Korea,18,10,8,0,0,0,1,1,0
Tahith Chong,21,Premier League,2018/2019,Forward,Manchester United,36,0,36,Netherlands,2,1,1,0,0,0,0,0,0
Terence Kongolo,27,Premier League,2018/2019,Defender,Huddersfield Town,2722,1405,1317,Netherlands,32,17,15,1,0,1,1,0,1
Theo Walcott,32,Premier League,2018/2019,Forward,Everton,2122,1114,1008,England,37,19,18,5,3,2,2,2,0
Tim Ream,33,Premier League,2018/2019,Defender,Fulham,2051,943,1108,USA,26,13,13,0,0,0,0,0,0
Timothy Eyoma,21,Premier League,2018/2019,Defender,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0
Timothy Fosu-Mensah,23,Premier League,2018/2019,Defender,Fulham,795,499,296,Netherlands,12,6,6,0,0,0,0,0,0
Toby Alderweireld,32,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,1549,1375,Belgium,34,18,16,0,0,0,0,0,0
Tom Cairney,30,Premier League,2018/2019,Midfielder,Fulham,2198,1107,1091,Scotland,31,16,15,1,1,0,1,1,0
Tom Cleverley,31,Premier League,2018/2019,Midfielder,Watford,470,102,368,England,13,4,9,1,0,1,0,0,0
Tom Davies,22,Premier League,2018/2019,Midfielder,Everton,975,520,455,England,16,8,8,0,0,0,0,0,0
Tom Heaton,34,Premier League,2018/2019,Goalkeeper,Burnley,1710,900,810,England,19,10,9,0,0,0,0,0,0
Tom Smith,28,Premier League,2018/2019,Defender,Huddersfield Town,1141,431,710,England,15,6,9,0,0,0,0,0,0
Trent Alexander-Arnold,22,Premier League,2018/2019,Defender,Liverpool,2467,1266,1201,England,29,15,14,1,0,1,12,8,4
Troy Deeney,32,Premier League,2018/2019,Forward,Watford,2548,1298,1250,England,32,16,16,9,3,6,5,1,4
Tyias Browning,26,Premier League,2018/2019,Defender,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0
Tyreke Johnson,22,Premier League,2018/2019,Defender,Southampton,0,0,0,England,1,1,0,0,0,0,0,0,0
Tyrone Mings,28,Premier League,2018/2019,Defender,AFC Bournemouth,141,7,134,England,5,2,3,0,0,0,0,0,0
Vicente Guaita,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,1035,720,Spain,20,12,8,0,0,0,0,0,0
Vicente Iborra De La Fuente,33,Premier League,2018/2019,Midfielder,Leicester City,226,152,74,Spain,8,3,5,0,0,0,0,0,0
Víctor Camarasa,26,Premier League,2018/2019,Midfielder,Cardiff City,2579,1267,1312,Spain,32,16,16,5,4,1,4,1,3
Victor Moses,30,Premier League,2018/2019,Midfielder,Chelsea,26,17,9,Nigeria,2,1,1,0,0,0,0,0,0
Victor Nilsson Lindelöf,26,Premier League,2018/2019,Defender,Manchester United,2602,1112,1490,Sweden,30,13,17,1,1,0,1,0,1
Victor Wanyama,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,302,207,Kenya,13,9,4,1,1,0,0,0,0
Viktor Gyökeres,22,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,0,0,Sweden,0,0,0,0,0,0,0,0,0
Vincent Janssen,26,Premier League,2018/2019,Forward,Tottenham Hotspur,36,36,0,Netherlands,3,3,0,0,0,0,0,0,0
Vincent Kompany,34,Premier League,2018/2019,Defender,Manchester City,1223,561,662,Belgium,17,8,9,1,1,0,0,0,0
Virgil van Dijk,29,Premier League,2018/2019,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1
Wayne Hennessey,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,675,900,Wales,18,8,10,0,0,0,0,0,0
Wes Morgan,37,Premier League,2018/2019,Defender,Leicester City,1926,783,1143,Jamaica,22,9,13,3,1,2,0,0,0
Wesley Hoedt,27,Premier League,2018/2019,Defender,Southampton,1170,540,630,Netherlands,13,6,7,0,0,0,0,0,0
Wilfredo Daniel Caballero,39,Premier League,2018/2019,Goalkeeper,Chelsea,180,90,90,Argentina,2,1,1,0,0,0,0,0,0
Wilfried Zaha,28,Premier League,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,Côte d'Ivoire,34,15,19,10,1,9,5,3,2
Will Hughes,25,Premier League,2018/2019,Midfielder,Watford,2436,1251,1185,England,32,16,16,2,1,1,4,2,2
Will Norris,27,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0
Willian,32,Premier League,2018/2019,Forward,Chelsea,2108,833,1275,Brazil,32,15,17,3,2,1,6,3,3
Willy Boly,30,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0
Xherdan Shaqiri,29,Premier League,2018/2019,Midfielder,Liverpool,1058,538,520,Switzerland,24,12,12,6,5,1,3,0,3
Yann Valery,22,Premier League,2018/2019,Defender,Southampton,1715,1070,645,France,23,13,10,2,1,1,1,1,0
Yerry Fernando Mina González,26,Premier League,2018/2019,Defender,Everton,890,360,530,Colombia,13,6,7,1,0,1,0,0,0
Yoshinori Muto,28,Premier League,2018/2019,Forward,Newcastle United,516,180,336,Japan,17,8,9,1,0,1,0,0,0
Youri Tielemans,23,Premier League,2018/2019,Midfielder,Leicester City,1092,575,517,Belgium,13,7,6,3,2,1,4,2,2
Yves Bissouma,24,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,747,1022,Mali,28,13,15,0,0,0,0,0,0
Zechariah Medley,20,Premier League,2018/2019,Defender,Arsenal,0,0,0,England,0,0,0,0,0,0,0,0,0
Zeze Steven Sessegnon,20,Premier League,2018/2019,Defender,Fulham,0,0,0,England,0,0,0,0,0,0,0,0,0
Łukasz Fabiański,35,Premier League,2018/2019,Goalkeeper,West Ham United,3420,1710,1710,Poland,38,19,19,0,0,0,0,0,0
